,fname,tnum,task_phase,trial_type,forced,picked_best,rt,ch_side,left_type,left_prob,right_type,right_prob,chosen_prob,chosen_type,best_type,best_prob,best_side
1,K20240226,1.0,4.0,2.0,0.0,0.0,488.0,1.0,2.0,80.0,2.0,20.0,20.0,2.0,2.0,80.0,-1.0
2,K20240226,2.0,4.0,2.0,0.0,1.0,461.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
3,K20240226,3.0,4.0,2.0,0.0,1.0,477.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
4,K20240226,4.0,4.0,2.0,-1.0,1.0,149.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
5,K20240226,5.0,4.0,2.0,0.0,0.0,145.0,1.0,2.0,80.0,2.0,50.0,50.0,2.0,2.0,80.0,-1.0
6,K20240226,6.0,4.0,2.0,0.0,0.0,608.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
7,K20240226,7.0,4.0,2.0,1.0,1.0,136.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
8,K20240226,8.0,4.0,2.0,-1.0,1.0,137.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
9,K20240226,9.0,4.0,2.0,1.0,1.0,137.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
10,K20240226,10.0,4.0,2.0,1.0,1.0,117.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
11,K20240226,11.0,4.0,2.0,-1.0,1.0,105.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
12,K20240226,12.0,4.0,2.0,0.0,1.0,158.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
13,K20240226,13.0,4.0,2.0,0.0,1.0,174.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
14,K20240226,14.0,4.0,2.0,1.0,1.0,134.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
15,K20240226,15.0,4.0,2.0,-1.0,1.0,135.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
16,K20240226,16.0,4.0,2.0,0.0,0.0,181.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
17,K20240226,17.0,4.0,2.0,0.0,1.0,439.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
18,K20240226,18.0,4.0,2.0,-1.0,1.0,153.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
19,K20240226,19.0,4.0,2.0,0.0,1.0,136.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
20,K20240226,20.0,4.0,2.0,-1.0,1.0,172.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
21,K20240226,21.0,4.0,2.0,0.0,1.0,180.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
22,K20240226,22.0,4.0,2.0,1.0,1.0,130.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
23,K20240226,23.0,4.0,2.0,1.0,1.0,155.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
