,fname,tnum,task_phase,trial_type,forced,picked_best,rt,ch_side,left_type,left_prob,right_type,right_prob,chosen_prob,chosen_type,best_type,best_prob,best_side
1,K20240223,1.0,1.0,1.0,1.0,1.0,152.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
2,K20240223,2.0,1.0,1.0,0.0,1.0,274.0,-1.0,1.0,80.0,1.0,50.0,80.0,1.0,1.0,80.0,-1.0
3,K20240223,3.0,1.0,1.0,0.0,1.0,172.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
4,K20240223,4.0,1.0,1.0,0.0,0.0,159.0,-1.0,1.0,50.0,1.0,80.0,50.0,1.0,1.0,80.0,1.0
5,K20240223,5.0,1.0,1.0,1.0,1.0,153.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
6,K20240223,6.0,1.0,1.0,0.0,1.0,400.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
7,K20240223,7.0,1.0,1.0,-1.0,1.0,155.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
8,K20240223,8.0,1.0,1.0,-1.0,1.0,160.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
9,K20240223,9.0,1.0,1.0,-1.0,1.0,178.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
10,K20240223,10.0,1.0,1.0,0.0,1.0,358.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
11,K20240223,11.0,1.0,1.0,0.0,1.0,170.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
12,K20240223,12.0,1.0,1.0,0.0,1.0,155.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
13,K20240223,13.0,1.0,1.0,1.0,1.0,122.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
14,K20240223,14.0,1.0,1.0,-1.0,1.0,178.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
15,K20240223,15.0,1.0,1.0,0.0,1.0,173.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
16,K20240223,16.0,1.0,1.0,0.0,1.0,155.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
17,K20240223,17.0,1.0,1.0,0.0,1.0,626.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
18,K20240223,18.0,1.0,1.0,1.0,1.0,98.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
19,K20240223,19.0,1.0,1.0,1.0,1.0,144.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
20,K20240223,20.0,1.0,1.0,1.0,1.0,151.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
21,K20240223,21.0,1.0,1.0,0.0,1.0,141.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
22,K20240223,22.0,1.0,1.0,0.0,1.0,179.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
23,K20240223,23.0,1.0,1.0,0.0,1.0,173.0,-1.0,1.0,80.0,1.0,50.0,80.0,1.0,1.0,80.0,-1.0
24,K20240223,24.0,1.0,1.0,-1.0,1.0,165.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
25,K20240223,25.0,1.0,1.0,-1.0,1.0,147.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
26,K20240223,26.0,1.0,1.0,0.0,1.0,142.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
27,K20240223,27.0,1.0,1.0,-1.0,1.0,137.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
28,K20240223,28.0,1.0,1.0,0.0,1.0,157.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
29,K20240223,29.0,1.0,1.0,0.0,1.0,323.0,-1.0,1.0,80.0,1.0,20.0,80.0,1.0,1.0,80.0,-1.0
30,K20240223,30.0,1.0,1.0,0.0,1.0,312.0,-1.0,1.0,50.0,1.0,20.0,50.0,1.0,1.0,50.0,-1.0
31,K20240223,31.0,1.0,1.0,0.0,1.0,172.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
32,K20240223,32.0,1.0,1.0,-1.0,1.0,159.0,-1.0,1.0,20.0,1.0,0.0,20.0,1.0,1.0,20.0,-1.0
33,K20240223,33.0,1.0,1.0,0.0,1.0,289.0,-1.0,1.0,80.0,1.0,50.0,80.0,1.0,1.0,80.0,-1.0
34,K20240223,34.0,1.0,1.0,-1.0,1.0,169.0,-1.0,1.0,80.0,1.0,0.0,80.0,1.0,1.0,80.0,-1.0
35,K20240223,35.0,1.0,1.0,1.0,1.0,148.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
36,K20240223,36.0,1.0,1.0,1.0,1.0,163.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
37,K20240223,37.0,1.0,1.0,1.0,1.0,159.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
