,fname,tnum,task_phase,trial_type,forced,picked_best,rt,ch_side,left_type,left_prob,right_type,right_prob,chosen_prob,chosen_type,best_type,best_prob,best_side
1,K20240224,1.0,1.0,1.0,1.0,1.0,153.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
2,K20240224,2.0,1.0,1.0,0.0,1.0,146.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
3,K20240224,3.0,1.0,1.0,0.0,0.0,1402.0,1.0,1.0,80.0,1.0,20.0,20.0,1.0,1.0,80.0,-1.0
4,K20240224,4.0,1.0,1.0,1.0,1.0,139.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
5,K20240224,5.0,1.0,1.0,0.0,0.0,1892.0,1.0,1.0,50.0,1.0,20.0,20.0,1.0,1.0,50.0,-1.0
6,K20240224,6.0,1.0,1.0,0.0,1.0,172.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
7,K20240224,7.0,1.0,1.0,1.0,1.0,153.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
8,K20240224,8.0,1.0,1.0,0.0,1.0,155.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
9,K20240224,9.0,1.0,1.0,0.0,1.0,171.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
10,K20240224,10.0,1.0,1.0,0.0,1.0,167.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
11,K20240224,11.0,1.0,1.0,1.0,1.0,154.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
12,K20240224,12.0,1.0,1.0,1.0,1.0,172.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
13,K20240224,13.0,1.0,1.0,0.0,0.0,1344.0,1.0,1.0,50.0,1.0,20.0,20.0,1.0,1.0,50.0,-1.0
14,K20240224,14.0,1.0,1.0,0.0,0.0,1252.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
