,fname,tnum,task_phase,trial_type,forced,picked_best,rt,ch_side,left_type,left_prob,right_type,right_prob,chosen_prob,chosen_type,best_type,best_prob,best_side
15,K20240224,15.0,1.0,1.0,0.0,1.0,149.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
16,K20240224,16.0,1.0,1.0,1.0,1.0,184.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
17,K20240224,17.0,1.0,1.0,0.0,1.0,184.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
18,K20240224,18.0,1.0,1.0,1.0,1.0,137.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
19,K20240224,19.0,1.0,1.0,0.0,0.0,904.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
20,K20240224,20.0,1.0,1.0,0.0,1.0,171.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
21,K20240224,21.0,1.0,1.0,0.0,1.0,164.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
22,K20240224,22.0,1.0,1.0,0.0,0.0,2118.0,1.0,1.0,80.0,1.0,20.0,20.0,1.0,1.0,80.0,-1.0
23,K20240224,23.0,1.0,1.0,1.0,1.0,138.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
24,K20240224,24.0,1.0,1.0,1.0,1.0,171.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
25,K20240224,25.0,1.0,1.0,0.0,1.0,165.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
26,K20240224,26.0,1.0,1.0,0.0,0.0,944.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
27,K20240224,27.0,1.0,1.0,0.0,1.0,173.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
28,K20240224,28.0,1.0,1.0,1.0,1.0,171.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
29,K20240224,29.0,1.0,1.0,0.0,0.0,1625.0,1.0,1.0,80.0,1.0,20.0,20.0,1.0,1.0,80.0,-1.0
30,K20240224,30.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
31,K20240224,31.0,1.0,1.0,0.0,0.0,1386.0,1.0,1.0,50.0,1.0,20.0,20.0,1.0,1.0,50.0,-1.0
32,K20240224,32.0,1.0,1.0,0.0,1.0,164.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
33,K20240224,33.0,1.0,1.0,1.0,1.0,143.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
34,K20240224,34.0,1.0,1.0,0.0,1.0,170.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
35,K20240224,35.0,1.0,1.0,1.0,1.0,163.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
36,K20240224,36.0,1.0,1.0,0.0,0.0,1428.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
37,K20240224,37.0,1.0,1.0,0.0,1.0,167.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
38,K20240224,38.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
39,K20240224,39.0,1.0,1.0,0.0,0.0,2141.0,1.0,1.0,80.0,1.0,20.0,20.0,1.0,1.0,80.0,-1.0
40,K20240224,40.0,1.0,1.0,1.0,1.0,163.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
41,K20240224,41.0,1.0,1.0,0.0,1.0,170.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
42,K20240224,42.0,1.0,1.0,0.0,0.0,1817.0,1.0,1.0,50.0,1.0,20.0,20.0,1.0,1.0,50.0,-1.0
43,K20240224,43.0,1.0,1.0,0.0,0.0,1464.0,1.0,1.0,80.0,1.0,20.0,20.0,1.0,1.0,80.0,-1.0
44,K20240224,44.0,1.0,1.0,-1.0,1.0,2512.0,-1.0,1.0,50.0,1.0,0.0,50.0,1.0,1.0,50.0,-1.0
45,K20240224,45.0,1.0,1.0,0.0,1.0,156.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
46,K20240224,46.0,1.0,1.0,1.0,1.0,156.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
47,K20240224,47.0,1.0,1.0,1.0,1.0,151.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
48,K20240224,48.0,1.0,1.0,1.0,1.0,155.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
49,K20240224,49.0,1.0,1.0,0.0,1.0,162.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
50,K20240224,50.0,1.0,1.0,0.0,0.0,1948.0,1.0,1.0,50.0,1.0,20.0,20.0,1.0,1.0,50.0,-1.0
51,K20240224,51.0,1.0,1.0,0.0,1.0,175.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
52,K20240224,52.0,1.0,1.0,0.0,0.0,187.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
53,K20240224,53.0,1.0,1.0,0.0,1.0,143.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
54,K20240224,54.0,1.0,1.0,0.0,0.0,1385.0,1.0,1.0,50.0,1.0,20.0,20.0,1.0,1.0,50.0,-1.0
55,K20240224,55.0,1.0,1.0,0.0,0.0,877.0,1.0,1.0,80.0,1.0,20.0,20.0,1.0,1.0,80.0,-1.0
56,K20240224,56.0,1.0,1.0,1.0,1.0,141.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
57,K20240224,57.0,1.0,1.0,0.0,1.0,176.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
58,K20240224,58.0,1.0,1.0,0.0,0.0,155.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
59,K20240224,59.0,1.0,1.0,0.0,1.0,158.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
60,K20240224,60.0,1.0,1.0,1.0,1.0,162.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
61,K20240224,61.0,1.0,1.0,1.0,1.0,157.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
62,K20240224,62.0,1.0,1.0,1.0,1.0,157.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
63,K20240224,63.0,1.0,1.0,0.0,0.0,905.0,1.0,1.0,50.0,1.0,20.0,20.0,1.0,1.0,50.0,-1.0
64,K20240224,64.0,1.0,1.0,1.0,1.0,146.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
65,K20240224,65.0,1.0,1.0,0.0,0.0,750.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
66,K20240224,66.0,1.0,1.0,0.0,1.0,128.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
67,K20240224,67.0,1.0,1.0,0.0,1.0,173.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
68,K20240224,68.0,1.0,1.0,1.0,1.0,135.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
69,K20240224,69.0,1.0,1.0,0.0,1.0,171.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
70,K20240224,70.0,1.0,1.0,1.0,1.0,158.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
71,K20240224,71.0,1.0,1.0,0.0,1.0,166.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
72,K20240224,72.0,1.0,1.0,0.0,0.0,1603.0,1.0,1.0,80.0,1.0,20.0,20.0,1.0,1.0,80.0,-1.0
73,K20240224,73.0,1.0,1.0,0.0,0.0,1486.0,1.0,1.0,50.0,1.0,20.0,20.0,1.0,1.0,50.0,-1.0
74,K20240224,74.0,1.0,1.0,0.0,1.0,188.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
75,K20240224,75.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
76,K20240224,76.0,1.0,1.0,0.0,1.0,187.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
77,K20240224,77.0,1.0,1.0,0.0,0.0,167.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
78,K20240224,78.0,1.0,1.0,1.0,1.0,140.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
79,K20240224,79.0,1.0,1.0,0.0,0.0,179.0,1.0,1.0,80.0,1.0,50.0,50.0,1.0,1.0,80.0,-1.0
80,K20240224,80.0,1.0,1.0,0.0,1.0,139.0,1.0,1.0,20.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
81,K20240224,81.0,1.0,1.0,1.0,1.0,152.0,1.0,1.0,0.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0
82,K20240224,82.0,1.0,1.0,0.0,0.0,768.0,1.0,1.0,80.0,1.0,20.0,20.0,1.0,1.0,80.0,-1.0
83,K20240224,83.0,1.0,1.0,0.0,1.0,172.0,1.0,1.0,50.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
84,K20240224,84.0,1.0,1.0,1.0,1.0,144.0,1.0,1.0,0.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
85,K20240224,85.0,1.0,1.0,0.0,1.0,143.0,1.0,1.0,20.0,1.0,80.0,80.0,1.0,1.0,80.0,1.0
86,K20240224,86.0,1.0,1.0,1.0,1.0,160.0,1.0,1.0,0.0,1.0,20.0,20.0,1.0,1.0,20.0,1.0
87,K20240224,87.0,2.0,2.0,0.0,1.0,155.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
88,K20240224,88.0,2.0,2.0,1.0,1.0,126.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
89,K20240224,89.0,2.0,2.0,0.0,1.0,145.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
90,K20240224,90.0,2.0,2.0,0.0,0.0,984.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
91,K20240224,91.0,2.0,2.0,0.0,1.0,154.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
92,K20240224,92.0,2.0,2.0,0.0,1.0,158.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
93,K20240224,93.0,2.0,2.0,1.0,1.0,122.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
94,K20240224,94.0,2.0,2.0,-1.0,1.0,174.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
95,K20240224,95.0,2.0,2.0,0.0,1.0,142.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
96,K20240224,96.0,2.0,2.0,1.0,1.0,171.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
97,K20240224,97.0,2.0,2.0,1.0,1.0,104.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
98,K20240224,98.0,2.0,2.0,0.0,0.0,920.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
99,K20240224,99.0,2.0,2.0,0.0,1.0,154.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
100,K20240224,100.0,2.0,2.0,0.0,1.0,160.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
101,K20240224,101.0,2.0,2.0,0.0,1.0,135.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
102,K20240224,102.0,2.0,2.0,1.0,1.0,177.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
103,K20240224,103.0,2.0,2.0,0.0,1.0,323.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
104,K20240224,104.0,2.0,2.0,1.0,1.0,125.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
105,K20240224,105.0,2.0,2.0,-1.0,1.0,165.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
106,K20240224,106.0,2.0,2.0,0.0,0.0,921.0,1.0,2.0,80.0,2.0,20.0,20.0,2.0,2.0,80.0,-1.0
107,K20240224,107.0,2.0,2.0,-1.0,1.0,144.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
108,K20240224,108.0,2.0,2.0,0.0,1.0,166.0,-1.0,2.0,50.0,2.0,20.0,50.0,2.0,2.0,50.0,-1.0
109,K20240224,109.0,2.0,2.0,0.0,1.0,137.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
110,K20240224,110.0,2.0,2.0,1.0,1.0,138.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
111,K20240224,111.0,2.0,2.0,-1.0,1.0,162.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
112,K20240224,112.0,2.0,2.0,0.0,1.0,165.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
113,K20240224,113.0,2.0,2.0,-1.0,1.0,219.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
114,K20240224,114.0,2.0,2.0,1.0,1.0,171.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
115,K20240224,115.0,2.0,2.0,0.0,1.0,150.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
116,K20240224,116.0,2.0,2.0,0.0,1.0,142.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
117,K20240224,117.0,2.0,2.0,1.0,1.0,129.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
118,K20240224,118.0,2.0,2.0,0.0,1.0,150.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
119,K20240224,119.0,2.0,2.0,1.0,1.0,191.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
120,K20240224,120.0,2.0,2.0,0.0,1.0,150.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
121,K20240224,121.0,2.0,2.0,0.0,1.0,137.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
122,K20240224,122.0,2.0,2.0,-1.0,1.0,2759.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
123,K20240224,123.0,2.0,2.0,1.0,1.0,198.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
124,K20240224,124.0,2.0,2.0,0.0,1.0,154.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
125,K20240224,125.0,2.0,2.0,-1.0,1.0,192.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
126,K20240224,126.0,2.0,2.0,0.0,1.0,154.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
127,K20240224,127.0,2.0,2.0,0.0,1.0,146.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
128,K20240224,128.0,2.0,2.0,1.0,1.0,142.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
129,K20240224,129.0,2.0,2.0,0.0,0.0,761.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
130,K20240224,130.0,2.0,2.0,-1.0,1.0,189.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
131,K20240224,131.0,2.0,2.0,-1.0,1.0,153.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
132,K20240224,132.0,2.0,2.0,0.0,1.0,150.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
133,K20240224,133.0,2.0,2.0,0.0,1.0,159.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
134,K20240224,134.0,2.0,2.0,1.0,1.0,155.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
135,K20240224,135.0,2.0,2.0,0.0,1.0,159.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
136,K20240224,136.0,2.0,2.0,1.0,1.0,195.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
137,K20240224,137.0,2.0,2.0,0.0,0.0,664.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
138,K20240224,138.0,2.0,2.0,1.0,1.0,190.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
139,K20240224,139.0,2.0,2.0,0.0,1.0,144.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
140,K20240224,140.0,2.0,2.0,0.0,1.0,136.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
141,K20240224,141.0,2.0,2.0,0.0,1.0,132.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
142,K20240224,142.0,2.0,2.0,0.0,1.0,165.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
143,K20240224,143.0,2.0,2.0,-1.0,1.0,183.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
144,K20240224,144.0,2.0,2.0,1.0,1.0,158.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
145,K20240224,145.0,2.0,2.0,0.0,1.0,144.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
146,K20240224,146.0,2.0,2.0,-1.0,1.0,719.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
147,K20240224,147.0,2.0,2.0,1.0,1.0,170.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
148,K20240224,148.0,2.0,2.0,0.0,1.0,156.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
149,K20240224,149.0,2.0,2.0,1.0,1.0,154.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
150,K20240224,150.0,2.0,2.0,-1.0,1.0,161.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
151,K20240224,151.0,2.0,2.0,0.0,0.0,674.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
152,K20240224,152.0,2.0,2.0,0.0,1.0,168.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
153,K20240224,153.0,2.0,2.0,1.0,1.0,224.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
154,K20240224,154.0,2.0,2.0,-1.0,1.0,270.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
155,K20240224,155.0,2.0,2.0,1.0,1.0,106.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
156,K20240224,156.0,2.0,2.0,0.0,0.0,861.0,1.0,2.0,80.0,2.0,20.0,20.0,2.0,2.0,80.0,-1.0
157,K20240224,157.0,2.0,2.0,0.0,0.0,913.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
158,K20240224,158.0,2.0,2.0,0.0,1.0,171.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
159,K20240224,159.0,2.0,2.0,1.0,1.0,155.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
160,K20240224,160.0,2.0,2.0,0.0,1.0,172.0,-1.0,2.0,80.0,2.0,50.0,80.0,2.0,2.0,80.0,-1.0
161,K20240224,161.0,2.0,2.0,0.0,1.0,137.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
162,K20240224,162.0,2.0,2.0,-1.0,1.0,155.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
163,K20240224,163.0,2.0,2.0,0.0,1.0,154.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
164,K20240224,164.0,2.0,2.0,0.0,1.0,134.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
165,K20240224,165.0,2.0,2.0,-1.0,1.0,150.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
166,K20240224,166.0,2.0,2.0,-1.0,1.0,174.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
167,K20240224,167.0,2.0,2.0,-1.0,1.0,874.0,-1.0,2.0,50.0,2.0,0.0,50.0,2.0,2.0,50.0,-1.0
168,K20240224,168.0,2.0,2.0,1.0,1.0,158.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
169,K20240224,169.0,2.0,2.0,0.0,1.0,138.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
170,K20240224,170.0,2.0,2.0,1.0,1.0,178.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
171,K20240224,171.0,2.0,2.0,0.0,1.0,160.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
172,K20240224,172.0,2.0,2.0,0.0,1.0,145.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
173,K20240224,173.0,2.0,2.0,1.0,1.0,189.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
174,K20240224,174.0,2.0,2.0,0.0,0.0,823.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
175,K20240224,175.0,2.0,2.0,0.0,0.0,835.0,1.0,2.0,80.0,2.0,50.0,50.0,2.0,2.0,80.0,-1.0
176,K20240224,176.0,2.0,2.0,1.0,1.0,217.0,1.0,2.0,0.0,2.0,20.0,20.0,2.0,2.0,20.0,1.0
177,K20240224,177.0,2.0,2.0,0.0,1.0,156.0,1.0,2.0,50.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
178,K20240224,178.0,2.0,2.0,0.0,1.0,154.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
179,K20240224,179.0,2.0,2.0,1.0,1.0,158.0,1.0,2.0,0.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
180,K20240224,180.0,2.0,2.0,0.0,1.0,140.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
181,K20240224,181.0,2.0,2.0,0.0,0.0,802.0,1.0,2.0,80.0,2.0,50.0,50.0,2.0,2.0,80.0,-1.0
182,K20240224,182.0,2.0,2.0,-1.0,1.0,175.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
183,K20240224,183.0,2.0,2.0,0.0,1.0,140.0,-1.0,2.0,80.0,2.0,20.0,80.0,2.0,2.0,80.0,-1.0
184,K20240224,184.0,2.0,2.0,1.0,1.0,156.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
185,K20240224,185.0,2.0,2.0,0.0,0.0,1396.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
186,K20240224,186.0,2.0,2.0,0.0,0.0,654.0,1.0,2.0,50.0,2.0,20.0,20.0,2.0,2.0,50.0,-1.0
187,K20240224,187.0,2.0,2.0,0.0,1.0,155.0,1.0,2.0,20.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
188,K20240224,188.0,2.0,2.0,-1.0,1.0,173.0,-1.0,2.0,80.0,2.0,0.0,80.0,2.0,2.0,80.0,-1.0
189,K20240224,189.0,2.0,2.0,0.0,1.0,173.0,1.0,2.0,20.0,2.0,50.0,50.0,2.0,2.0,50.0,1.0
190,K20240224,190.0,2.0,2.0,1.0,1.0,131.0,1.0,2.0,0.0,2.0,80.0,80.0,2.0,2.0,80.0,1.0
191,K20240224,191.0,2.0,2.0,0.0,0.0,1019.0,1.0,2.0,80.0,2.0,50.0,50.0,2.0,2.0,80.0,-1.0
192,K20240224,192.0,2.0,2.0,-1.0,1.0,170.0,-1.0,2.0,20.0,2.0,0.0,20.0,2.0,2.0,20.0,-1.0
